0.000000	-48.027138
0.011610	-46.847939
0.023220	-62.243099
0.034830	-54.279732
0.046440	-59.119205
0.058050	-58.830471
0.069660	-65.910919
0.081270	-59.667107
0.092880	-60.425407
0.104490	-62.819305
0.116100	-64.347374
0.127710	-60.459064
0.139320	-65.150589
0.150930	-56.772514
0.162540	-64.624336
0.174150	-56.169586
0.185760	-61.443863
0.197370	-56.943775
0.208980	-58.655071
0.220590	-59.456650
0.232200	-73.490097
0.243810	-63.747841
0.255419	-63.423775
0.267029	-68.198250
0.278639	-64.547607
0.290249	-60.920761
0.301859	-62.856182
0.313469	-60.359726
0.325079	-62.399601
0.336689	-64.507538
0.348299	-66.416748
0.359909	-63.931366
0.371519	-57.679714
0.383129	-57.224335
0.394739	-55.948082
0.406349	-57.056976
0.417959	-41.798950
0.429569	-48.043297
0.441179	-52.578575
0.452789	-62.783249
0.464399	-56.663010
0.476009	-53.593960
0.487619	-57.932114
0.499229	-55.869961
0.510839	-70.523064
0.522449	-58.652710
0.534059	-54.517689
0.545669	-60.387589
0.557279	-53.939594
0.568889	-72.708923
0.580499	-57.751335
0.592109	-61.766945
0.603719	-61.842339
0.615329	-60.042313
0.626939	-64.516823
0.638549	-63.484512
0.650159	-63.073685
0.661769	-64.786797
0.673379	-55.848289
0.684989	-66.925941
0.696599	-66.337273
0.708209	-61.230606
0.719819	-74.365417
0.731429	-58.576645
0.743039	-82.188919
0.754649	-65.136475
0.766258	-65.333542
0.777869	-65.424850
0.789478	-66.950470
0.801088	-63.740215
0.812698	-65.407860
0.824308	-66.596901
0.835918	-67.647240
0.847528	-53.191505
0.859138	-62.111248
0.870748	-64.295891
0.882358	-61.786098
0.893968	-64.376801
0.905578	-59.292519
0.917188	-63.014561
0.928798	-58.191856
0.940408	-60.705204
0.952018	-63.883110
0.963628	-48.882832
0.975238	-52.561424
0.986848	-60.126755
0.998458	-61.908398
1.010068	-55.468338
1.021678	-50.273659
1.033288	-60.710823
1.044898	-54.876923
1.056508	-67.300697
1.068118	-63.348045
1.079728	-63.444485
1.091338	-62.295643
1.102948	-59.666718
1.114558	-54.160824
1.126168	-55.621460
1.137778	-55.074936
1.149388	-55.054287
1.160998	-58.395954
1.172608	-51.117825
1.184218	-61.360374
1.195828	-59.955067
1.207438	-68.570847
1.219048	-53.794197
1.230658	-64.857643
1.242268	-58.959137
1.253878	-52.532639
1.265488	-54.485970
1.277097	-55.656982
1.288707	-36.343655
1.300317	-36.482536
1.311927	-35.886391
1.323537	-36.035370
1.335147	-36.038250
1.346757	-35.956875
1.358367	-37.747196
1.369977	-36.800610
1.381587	-35.627514
1.393197	-41.074253
1.404807	-41.550846
1.416417	-41.892418
1.428027	-40.122131
1.439637	-44.327625
1.451247	-43.615845
1.462857	-44.154518
1.474467	-43.327328
1.486077	-43.389008
1.497687	-36.044731
1.509297	-34.713291
1.520907	-35.428612
1.532517	-34.126858
1.544127	-34.757580
1.555737	-34.839203
1.567347	-35.969452
1.578957	-33.993233
1.590567	-33.512745
1.602177	-43.085114
1.613787	-55.080597
1.625397	-42.783249
1.637007	-38.900421
1.648617	-48.844704
1.660227	-40.013397
1.671837	-36.232876
1.683447	-34.001133
1.695057	-39.396038
1.706667	-35.767101
1.718277	-48.962471
1.729887	-47.718933
1.741497	-53.389511
1.753107	-65.049911
1.764717	-53.728477
1.776327	-58.249378
1.787936	-54.129467
1.799546	-49.150955
1.811157	-48.621201
1.822766	-49.806561
1.834376	-45.485909
1.845986	-49.485126
1.857596	-60.036144
1.869206	-58.027138
1.880816	-51.928429
1.892426	-52.988323
1.904036	-51.485992
1.915646	-53.481144
1.927256	-40.708927
1.938866	-35.730888
1.950476	-36.916233
1.962086	-35.287300
1.973696	-37.558544
1.985306	-37.083042
1.996916	-36.254471
2.008526	-39.041096
2.020136	-38.619740
2.031746	-36.603706
2.043356	-44.170090
2.054966	-48.776329
2.066576	-45.727596
2.078186	-47.270416
2.089796	-52.004097
2.101406	-44.987587
2.113016	-51.026573
2.124626	-50.136772
2.136236	-45.037613
2.147846	-53.135227
2.159456	-46.372047
2.171066	-46.937660
2.182676	-55.312580
2.194286	-47.825783
2.205896	-49.716248
2.217506	-51.174820
2.229116	-58.921959
2.240726	-42.041611
